Country,Indicator,Last,Previous,Highest,Lowest,Date
Afghanistan,GDP Annual Growth Rate,2.7,-6.2,17.2,-20.7,percent
Afghanistan,Unemployment Rate,15.4,14.1,15.4,7.9,percent
Afghanistan,Inflation Rate,-6.6,-5.9,47.83,-18.37,percent
Afghanistan,Balance of Trade,-6798,-5169,-1661,-8518,USD Million
Afghanistan,Current Account to GDP,-17.3,-2.7,31.3,-75.2,percent of GDP
Afghanistan,Government Debt to GDP,10.9,11.5,23,6.13,percent of GDP
Afghanistan,Government Budget,-4.8,-3.1,-0.4,-26.8,percent of GDP
Afghanistan,Corporate Tax Rate,20,20,20,0,percent
Afghanistan,Personal Income Tax Rate,20,20,20,20,percent
Afghanistan,GDP Annual Growth Rate,2.7,-6.2,17.2,-20.7,percent
Afghanistan,GDP,14.5,14.27,20.5,0.54,USD Billion
Afghanistan,GDP per Capita,373,408,582,339,USD
Afghanistan,GDP per Capita PPP,1955,2139,3054,1498,USD
Afghanistan,GDP Constant Prices,1060708,1032712,1418882,202528,AFN Million
Afghanistan,GDP from Agriculture,380744,373056,442548,77324,AFN Million
Afghanistan,GDP from Construction,21108,21297,68077,8700,AFN Million
Afghanistan,GDP from Manufacturing,83686,82304,109873,34287,AFN Million
Afghanistan,GDP from Mining,24260,22704,24260,256,AFN Million
Afghanistan,GDP from Services,471268,460482,737499,69162,AFN Million
Afghanistan,GDP from Transport,44880,42382,136478,20274,AFN Million
Afghanistan,GDP from Utilities,24902,23723,26852,121,AFN Million
Afghanistan,Gross Fixed Capital Formation,205645,213930,239843,22875,AFN Million
Afghanistan,Unemployment Rate,15.4,14.1,15.4,7.9,percent
Afghanistan,Population,34.9,34.3,34.9,8.77,Million
Afghanistan,Inflation Rate,-6.6,-5.9,47.83,-18.37,percent
Afghanistan,Core Inflation Rate,-2.4,-1.8,16.26,-5.1,percent
Afghanistan,Consumer Price Index CPI,126,128,149,104,points
Afghanistan,CPI Housing Utilities,102,102,111,99.6,points
Afghanistan,CPI Transportation,130,129,192,96.3,points
Afghanistan,Food Inflation,-10.5,-9.8,72.77,-27.46,percent
Afghanistan,Inflation Rate MoM,-1.8,-1,7.27,-42.98,percent
Afghanistan,Balance of Trade,-6798,-5169,-1661,-8518,USD Million
Afghanistan,Current Account to GDP,-17.3,-2.7,31.3,-75.2,percent of GDP
Afghanistan,Exports,1778,1838,1838,69.1,USD Million
Afghanistan,Imports,8576,7007,8932,1966,USD Million
Afghanistan,Gold Reserves,21.87,21.87,21.87,21.87,Tonnes
Afghanistan,Terrorism Index,7.83,8.82,9.12,5.7,Points
Afghanistan,Government Debt to GDP,10.9,11.5,23,6.13,percent of GDP
Afghanistan,Government Budget,-4.8,-3.1,-0.4,-26.8,percent of GDP
Afghanistan,Corruption Index,20,24,25,8,Points
Afghanistan,Corruption Rank,162,150,180,117,
Afghanistan,Government Budget Value,-64413,-40337,-6124,-177410,AFN Million
Afghanistan,Government Spending,287609,280374,339369,15514,AFN Million
Afghanistan,Government Spending to GDP,21.2,21.8,24.1,7.7,percent of GDP
Afghanistan,Military Expenditure,278,280,326,2.9,USD Million
Afghanistan,Corporate Tax Rate,20,20,20,0,percent
Afghanistan,Personal Income Tax Rate,20,20,20,20,percent
Afghanistan,Sales Tax Rate,10,10,10,10,percent
Afghanistan,Electricity Production,972,967,1286,827,Gigawatt-hour
Afghanistan,Mining Production,41,15,82.5,-11.8,percent
Afghanistan,Consumer Spending,1298013,1228076,1378386,225164,AFN Million
Albania,Currency,88.49,88.25,134,75.74,
Albania,GDP Growth Rate,1,0.79,11.7,-8.7,percent
Albania,GDP Annual Growth Rate,3.6,3.8,18.54,-11.22,percent
Albania,Unemployment Rate,10.7,10.5,22.3,10.5,percent
Albania,Inflation Rate,2,2.1,237,-2.12,percent
Albania,Inflation Rate MoM,0.5,-0.2,45.7,-3.3,percent
Albania,Interest Rate,3,3,8.5,0.5,percent
Albania,Balance of Trade,-46427,-52150,-974,-55943,ALL Million
